ID,Nombre,Dirección,Descripción,Puntuación,Usuarios que puntuaron,Ciudad,Departamento,Teléfono,Sitio Web,Búsqueda,Categoría
98fc5fdf-dbd9-4513-9a2c-e56dc703fd04,Lácteos Envigado,No hay reseñas,N/A,N/A,N/A,Envigado,Antioquia,N/A,N/A,"Lacteos, Antioquia, Envigado",Lácteos
682e96b1-9099-49a3-9e95-99d97a62d74e,Lácteos Rio Grande,"5,0(1)",N/A,"5,0",(1),Envigado,Antioquia,N/A,N/A,"Lacteos, Antioquia, Envigado",Lácteos
d5b9c6cd-e1bb-42c7-986e-27026672d37f,SALSAMENTARIA VERSAL-LACTEOS LA HOLANDESA N2,302 5417379,Comercio,"5,0",(2),Envigado,Antioquia,302 5417379,N/A,"Lacteos, Antioquia, Envigado",Otros
009d510e-b851-4bb2-9dd6-6bc5217a6f1c,Lácteos La Fortuna,"1,7(3)",N/A,"1,7",(3),Envigado,Antioquia,N/A,N/A,"Lacteos, Antioquia, Envigado",Lácteos
6a8ef61b-99eb-4bfe-9397-04e1761a31fe,Queso Mozarella Y Champiñones,Quesería,N/A,"4,8",(57),Envigado,Antioquia,320 6372196,N/A,"Lacteos, Antioquia, Envigado",Otros
496acd48-1e32-467d-beea-6921750e45ce,Fruttivos Loma del Esmeraldal,301 5066959,Frutería,"5,0",(1),Envigado,Antioquia,301 5066959,N/A,"Lacteos, Antioquia, Envigado",Otros
2c912b7a-15eb-4d21-b5ae-6cedc8edb47f,Cárnicos y lácteos Carlos E. Restrepo,Cl. 53A #64 A - 11,Supermercado,"4,3",(56),Envigado,Antioquia,42305628,N/A,"Lacteos, Antioquia, Envigado",Lácteos
da0b8a1c-b31e-4a56-80f7-1f716e93f1c8,Lacteos Y Carnicos La Vaca Lechera Minimercado,No hay reseñas,N/A,N/A,N/A,Envigado,Antioquia,N/A,N/A,"Lacteos, Antioquia, Envigado",Otros
85099541-71b8-41c1-8769-eb35960f2d90,Fruttivos Esmeraldal,301 5066959,Frutería,"3,5",(2),Envigado,Antioquia,301 5066959,N/A,"Lacteos, Antioquia, Envigado",Otros
295672f8-6bf7-493b-abbc-b9d7f8b5d683,Lácteos Monticello,Quesería,N/A,N/A,N/A,Envigado,Antioquia,312 7669677,N/A,"Lacteos, Antioquia, Envigado",Lácteos
